id,name,lat,lng,obs_q
1010800102,KAMINISTIQUIA RIVER STATION,48.35863464,-89.28760749,
3003601002,BEAVER RIVER STATION,44.52027901,-80.46674361,02FB009
Grand River test,,43.09,-80.15,
